./experiments/25Jul_fullimg__graham/ not exist
Create ./experiments/25Jul_fullimg__graham/ success
./experiments/25Jul_fullimg__graham/log not exist
Create ./experiments/25Jul_fullimg__graham/log success
./experiments/25Jul_fullimg__graham/trained_models not exist
Create ./experiments/25Jul_fullimg__graham/trained_models success
Epoch [149/300], Step [200/206], Loss: 0.1319, Accuracy: 0.00%
Epoch [150/300], Step [100/206], Loss: 0.1590, Accuracy: 0.00%
Epoch [150/300], Step [200/206], Loss: 0.1726, Accuracy: 0.00%
Epoch [151/300], Step [100/206], Loss: 0.4064, Accuracy: 0.00%
Epoch [151/300], Step [200/206], Loss: 0.1894, Accuracy: 0.00%
Epoch [152/300], Step [100/206], Loss: 0.1623, Accuracy: 0.00%
Epoch [152/300], Step [200/206], Loss: 0.2297, Accuracy: 0.00%
Epoch [153/300], Step [100/206], Loss: 0.2000, Accuracy: 0.00%
Epoch [153/300], Step [200/206], Loss: 0.0931, Accuracy: 0.00%
Epoch [154/300], Step [100/206], Loss: 0.1894, Accuracy: 0.00%
Epoch [154/300], Step [200/206], Loss: 0.4595, Accuracy: 0.00%
Epoch [155/300], Step [100/206], Loss: 0.0993, Accuracy: 0.00%
Epoch [155/300], Step [200/206], Loss: 0.1227, Accuracy: 0.00%
Epoch [156/300], Step [100/206], Loss: 0.1857, Accuracy: 0.00%
Epoch [156/300], Step [200/206], Loss: 0.2310, Accuracy: 0.00%
Epoch [157/300], Step [100/206], Loss: 0.2524, Accuracy: 0.00%
Epoch [157/300], Step [200/206], Loss: 0.1073, Accuracy: 0.00%
Epoch [158/300], Step [100/206], Loss: 0.2447, Accuracy: 0.00%
Epoch [158/300], Step [200/206], Loss: 0.1314, Accuracy: 0.00%
Epoch [159/300], Step [100/206], Loss: 0.2479, Accuracy: 0.00%
Epoch [159/300], Step [200/206], Loss: 0.3904, Accuracy: 0.00%
Epoch [160/300], Step [100/206], Loss: 0.2563, Accuracy: 0.00%
Epoch [160/300], Step [200/206], Loss: 0.0869, Accuracy: 0.00%
Epoch [161/300], Step [100/206], Loss: 0.1761, Accuracy: 0.00%
Epoch [161/300], Step [200/206], Loss: 0.5162, Accuracy: 0.00%
Epoch [162/300], Step [100/206], Loss: 0.1555, Accuracy: 0.00%
Epoch [162/300], Step [200/206], Loss: 0.1971, Accuracy: 0.00%
Epoch [163/300], Step [100/206], Loss: 0.1041, Accuracy: 0.00%
Epoch [163/300], Step [200/206], Loss: 0.1037, Accuracy: 0.00%
Epoch [164/300], Step [100/206], Loss: 0.2586, Accuracy: 0.00%
Epoch [164/300], Step [200/206], Loss: 0.1518, Accuracy: 0.00%
Epoch [165/300], Step [100/206], Loss: 0.1676, Accuracy: 0.00%
Epoch [165/300], Step [200/206], Loss: 0.1911, Accuracy: 0.00%
Epoch [166/300], Step [100/206], Loss: 0.1491, Accuracy: 0.00%
Epoch [166/300], Step [200/206], Loss: 0.2170, Accuracy: 0.00%
Epoch [167/300], Step [100/206], Loss: 0.1816, Accuracy: 0.00%
Epoch [167/300], Step [200/206], Loss: 0.2313, Accuracy: 0.00%
Epoch [168/300], Step [100/206], Loss: 0.1923, Accuracy: 0.00%
Epoch [168/300], Step [200/206], Loss: 0.2402, Accuracy: 0.00%
Epoch [169/300], Step [100/206], Loss: 0.1031, Accuracy: 0.00%
Epoch [169/300], Step [200/206], Loss: 0.0543, Accuracy: 0.00%
Epoch [170/300], Step [100/206], Loss: 0.0431, Accuracy: 0.00%
Epoch [170/300], Step [200/206], Loss: 0.2236, Accuracy: 0.00%
Epoch [171/300], Step [100/206], Loss: 0.0580, Accuracy: 0.00%
Epoch [171/300], Step [200/206], Loss: 0.5890, Accuracy: 0.00%
Epoch [172/300], Step [100/206], Loss: 0.1519, Accuracy: 0.00%
Epoch [172/300], Step [200/206], Loss: 0.1209, Accuracy: 0.00%
Epoch [173/300], Step [100/206], Loss: 0.1354, Accuracy: 0.00%
Epoch [173/300], Step [200/206], Loss: 0.0891, Accuracy: 0.00%
Epoch [174/300], Step [100/206], Loss: 0.2297, Accuracy: 0.00%
Epoch [174/300], Step [200/206], Loss: 0.1945, Accuracy: 0.00%
Epoch [175/300], Step [100/206], Loss: 0.1818, Accuracy: 0.00%
